Data ID	Sub System	Name	ADC No	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci From Eng	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Eng Limit Type	Eng Yellow Limit	Eng Red Limit	Sci Limit Type	Sci Yellow Limit	Sci Red Limit
63	CDH	CDH_2.5VMON	2	5	0	101	63	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	63	0	0	0	0	0	0
64	CDH	+160_VMON	2	5	0	101	64	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	64	0	0	0	0	0	0
65	CDH	-160_VMON	2	5	0	101	65	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	65	0	0	0	0	0	0
66	CDH	+80RF_VMON	2	5	0	101	66	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	66	0	0	0	0	0	0
67	CDH	+15RF_VMON	2	5	0	101	67	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	67	0	0	0	0	0	0
68	CDH	-15RF_VMON	2	5	0	101	68	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	68	0	0	0	0	0	0
69	CDH	CDH_+5VREF	2	5	0	101	69	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	69	0	0	0	0	0	0
70	CDH	CDH_-5VREF	2	5	0	101	70	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	70	0	0	0	0	0	0
71	CDH	OS_FIL1_VMON	2	5	0	101	71	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	71	0	0	0	0	0	0
72	CDH	OS_FIL2_VMON	2	5	0	101	72	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	72	0	0	0	0	0	0
73	CDH	OS_FIL_EMON	2	5	0	101	73	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	73	0	0	0	0	0	0
74	CDH	OS_FS1_MON	2	5	0	101	74	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	74	0	0	0	0	0	0
75	CDH	OS_EF1A_MON	2	5	0	101	75	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	75	0	0	0	0	0	0
76	CDH	OS_EF1B_MON	2	5	0	101	76	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	76	0	0	0	0	0	0
77	CDH	OS_EF2A_MON	2	5	0	101	77	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	77	0	0	0	0	0	0
78	CDH	OS_EF2B_MON	2	5	0	101	78	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	78	0	0	0	0	0	0
79	CDH	OS_RES1_MON	2	5	0	101	79	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	79	0	0	0	0	0	0
80	CDH	OS_RES2_MON	2	5	0	101	80	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	80	0	0	0	0	0	0
81	CDH	OS_OL1_MON	2	5	0	101	81	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	81	0	0	0	0	0	0
82	CDH	OS_OL2_MON	2	5	0	101	82	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	82	0	0	0	0	0	0
83	CDH	OS_OL3_MON	2	5	0	101	83	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	83	0	0	0	0	0	0
84	CDH	OS_OL4_MON	2	5	0	101	84	0	0	0	%d	%.4f	2	1	10	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	84	0	0	0	0	0	0
85	CDH	OS_-5REF_MON	2	5	0	101	85	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0	0	0	0	85	0	0	0	0	0	0
86	CDH	OS_GND_REF	2	5	0	101	86	0	0	0	%d	%.4f	2	1	10	V	%.3f	1	TRUE	0	1	0	0	0.00E+00	0	0	0	86	0	0	0	0	0	0
87	CDH	OS_FIL1_IMON	2	5	0	101	87	0	0	0	%d	%.4f	2	1	10	A	%.4f	1	TRUE	0	1	0	0	0	0	0	0	87	0	0	0	0	0	0
88	CDH	OS_FIL2_IMON	2	5	0	101	88	0	0	0	%d	%.4f	2	1	10	A	%.4f	1	TRUE	0	1	0	0	0	0	0	0	88	0	0	0	0	0	0
89	CDH	OS_TRAP_MON	2	5	0	101	89	0	0	0	%d	%.4f	2	1	10	V	%.0f	1	TRUE	0	1	0	0	0	0	0	0	89	0	0	0	0	0	0
90	CDH	OS_FS2_MON	2	5	0	101	90	0	0	0	%d	%.4f	2	1	10	V	%.0f	1	TRUE	0	1	0	0	0	0	0	0	90	0	0	0	0	0	0
91	CDH	OS_EF1C_MON	2	5	0	101	91	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	91	0	0	0	0	0	0
92	CDH	OS_EF1D_MON	2	5	0	101	92	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	92	0	0	0	0	0	0
93	CDH	OS_EF2C_MON	2	5	0	101	93	0	0	0	%d	%.4f	2	1	10	V	%.4f	1	TRUE	0	1	0	0	0	0	0	0	93	0	0	0	0	0	0
94	CDH	OS_EF2D_MON	2	5	0	101	94	0	0	0	%d	%.4f	2	1	10	V	%.1f	1	TRUE	0	1	0	0	0	0	0	0	103	0	0	0	0	0	0
