c3d56976-2fce-4898-b9fb-6029c1133992
t,label,value
1643116932002000,UPS_LOAD_%,0
1643116932002000,UPS_STATUS, 10000
1643116932002000,MO1_LD1_CURR,400
1643116932002000,MO1_LD2_CURR,399.9
1643116932002000,MO1_LD1_VOLT,2.087
1643116932002000,MO1_LD2_VOLT,2.087
1643116932002000,MO1_LD1_PD_Current,276
1643116932002000,MO1_LD2_PD_Current,262
1643116932002000,MO1_LD_TEC,21.998949
1643116932002000,MO1_LD_TEC_V,0.410764
1643116932002000,MO1_LD_TEC_I,-0.5279
1643116932002000,MO1_CRYSTAL_TEC,36.99942
1643116932002000,MO1_CRYSTAL_TEC_V,0.287924
1643116932002000,MO1_CRYSTAL_TEC_I,0.05752
1643116932002000,MO1_CASE_TEC,21.49
1643116932002000,MO1_CASE_TEC_V,-0.37
1643116932002000,MO1_CASE_TEC_I,-0.11
1643116932002000,MO1_PD_Current,5591
1643116932002000,MO_POWER_RAW,0.136355
1643116932002000,uNPRO_Lid_Pumps,21.576681
1643116932002000,uNPRO_Lid_XTAL,21.455682
1643116932002000,uNPRO_LID_OPTAP,21.717034
1643116932002000,uNPRO_Snout,21.660561
1643116932002000,Baseplate_at_Snout,19.363796
1643116932002000,Breadboard_Snout+135deg,19.240066
1643116932002000,Baseplate_Snout+135deg,19.350687
1643116933013000,ELAPSED_SEC,17.782
1643116933013000,SCAN_INDEX,-1
1643116933013000,ANALOG_TUNE_A,0
1643116933013000,ANALOG_TUNE_B,0
1643116933013000,UPS_LOAD_%,0
1643116933013000,UPS_STATUS, 10000
1643116933013000,MO1_LD1_CURR,400
1643116933013000,MO1_LD2_CURR,399.9
1643116933013000,MO1_LD1_VOLT,2.087
1643116933013000,MO1_LD2_VOLT,2.087
1643116933013000,MO1_LD1_PD_Current,276
1643116933013000,MO1_LD2_PD_Current,262
1643116933013000,MO1_LD_TEC,21.998949
1643116933013000,MO1_LD_TEC_V,0.410764
1643116933013000,MO1_LD_TEC_I,-0.5279
1643116933013000,MO1_CRYSTAL_TEC,36.99942
1643116933013000,MO1_CRYSTAL_TEC_V,0.287924
1643116933013000,MO1_CRYSTAL_TEC_I,0.05752
1643116933013000,MO1_CASE_TEC,21.595
1643116933013000,MO1_CASE_TEC_V,0.64
1643116933013000,MO1_CASE_TEC_I,0.72
1643116933013000,MO1_PD_Current,5591
1643116933013000,MO_POWER_RAW,0.136188
1643116933013000,uNPRO_Lid_Pumps,21.571448
1643116933013000,uNPRO_Lid_XTAL,21.457015
1643116933013000,uNPRO_LID_OPTAP,21.719274
1643116933013000,uNPRO_Snout,21.665529
1643116933013000,Baseplate_at_Snout,19.364566
1643116933013000,Breadboard_Snout+135deg,19.240423
1643116933013000,Baseplate_Snout+135deg,19.351731
1643116934024000,ELAPSED_SEC,18.793
1643116934024000,SCAN_INDEX,-1
1643116934024000,ANALOG_TUNE_A,0
1643116934024000,ANALOG_TUNE_B,0
1643116934024000,UPS_LOAD_%,0
1643116934024000,UPS_STATUS, 10000
1643116934024000,MO1_LD1_CURR,400
1643116934024000,MO1_LD2_CURR,399.9
1643116934024000,MO1_LD1_VOLT,2.087
1643116934024000,MO1_LD2_VOLT,2.087
1643116934024000,MO1_LD1_PD_Current,276
1643116934024000,MO1_LD2_PD_Current,262
1643116934024000,MO1_LD_TEC,22.000793
1643116934024000,MO1_LD_TEC_V,0.424038
1643116934024000,MO1_LD_TEC_I,-0.54432
1643116934024000,MO1_CRYSTAL_TEC,37.000469
1643116934024000,MO1_CRYSTAL_TEC_V,0.287041
1643116934024000,MO1_CRYSTAL_TEC_I,0.057057
1643116934024000,MO1_CASE_TEC,21.471
1643116934024000,MO1_CASE_TEC_V,-0.77
1643116934024000,MO1_CASE_TEC_I,-0.38
1643116934024000,MO1_PD_Current,5591
1643116934024000,MO_POWER_RAW,0.136322
1643116934024000,uNPRO_Lid_Pumps,21.563457
1643116934024000,uNPRO_Lid_XTAL,21.459531
1643116934024000,uNPRO_LID_OPTAP,21.720819
1643116934024000,uNPRO_Snout,21.65671
1643116934024000,Baseplate_at_Snout,19.364754
1643116934024000,Breadboard_Snout+135deg,19.240185
1643116934024000,Baseplate_Snout+135deg,19.352467
